"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
babyenrol_elig_success,babyenrol,,descriptive,"<div style=""font-size: 120%; padding: 10px; text-align:center;color: rgb(0, 85, 149);border: 4px solid  rgb(0, 85, 149); background-color:  rgba(0, 85, 149, 0.1)""><span style=""font-size: 120%;"">This baby is eligible for the study. Please complete the additional fields below.</div>",,,,,,,"[babyenrol_eligible_calc] = '1'",,,,,,"Miscellaneous
@HIDDEN-PDF @SAVEOPTIONS='next'"
babyenrol_birth_datetime,babyenrol,"<h3 class=""h5"" style=""text-align: center; text-transform: capitalize;"">Additional Information</h3>",text,"Date and time of birth",,,datetime_dmy,"2025-01-01 00:00",now,y,"[babyenrol_eligible_calc] = '1'",,,,,,"Participant Identifier
Medical History
Core Outcome
Secondary Outcome
@FORCE-MINMAX"
babyenrol_tob_estimated,babyenrol,,checkbox,"Is the time of birth an estimate?","yes, Yes, the time of birth is an estimate",,,,,,"[babyenrol_eligible_calc] = '1'",,,,,,"Data Management"
babyenrol_dob,babyenrol,,text,"Date of birth",,,date_dmy,2025-01-01,today,y,,y,,,,,"Derived
Participant Identifier
Medical History
Core Outcome
Secondary Outcome
@HIDDEN @HIDDEN-PDF @CALCTEXT(left([babyenrol_birth_datetime_2],10))"
babyenrol_tob,babyenrol,,text,"Time of birth",,"Please make a best estimate if there is any uncertainty.",time,,,y,,y,,,,,"Derived
Participant Identifier
Medical History
Core Outcome
Secondary Outcome
@HIDDEN @HIDDEN-PDF @CALCTEXT(right([babyenrol_birth_datetime_2],5))"
babyenrol_mode,babyenrol,,radio,"Mode of delivery","elective_caesarean_section, Elective caesarean section | emergency_caesarean_section, Emergency caesarean section | instrumental_vaginal, Instrumental vaginal | spontaneous_vaginal, Spontaneous vaginal | unknown, Unknown",,,,,,"[babyenrol_eligible_calc] = '1'",y,,,,,"Medical History
@NOMISSING"
babyenrol_sex,babyenrol,,radio,Sex,"female, Female | male, Male | indeterminate, Indeterminate",,,,,,"[babyenrol_eligible_calc] = '1'",y,,,,,"Participant Identifier
Medical History"
babyenrol_resus_need,babyenrol,,radio,"Was the baby resuscitated?","yes, Yes | no, No | unknown, Unknown",,,,,,"[babyenrol_eligible_calc] = '1'",y,,,,,"Medical History
@NOMISSING"
babyenrol_resus_used,babyenrol,,checkbox,"Techniques for resuscitation used ","bag_valve_or_mask, Bag, valve or mask | chest_compression, Chest compression | drugs, Drugs | endotracheal_intubation, Endotracheal intubation | stimulation, Stimulation | suction, Suction | supplemental_oxygen, Supplemental oxygen | unknown, Unknown | other, Other (please specify)",{babyenrol_resus_used_oth},,,,,"[babyenrol_resus_need] = 'yes'",y,,,,,"Medical History
@NONEOFTHEABOVE='unknown' @NOMISSING"
babyenrol_resus_used_oth,babyenrol,,text,"Other (please specify)",,,,,,,"[babyenrol_resus_used(other)] = '1'",y,,,,,"Medical History"
babymon_version,babymon,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
babymon_lasteditedby,babymon,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
babymon_title,babymon,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Baby Monitoring - [record-name] Baby #[current-instance]</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
babymon_eenc_cord_clamp,babymon,,radio,"Was delayed cord clamping (>1 min) undertaken?","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,"Core Outcome
Compliance Data
@NOMISSING"
babymon_eenc_dried,babymon,,radio,"Was baby dried immediately?","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,"Core Outcome
Compliance Data
@NOMISSING"
babymon_eenc_skin_contact,babymon,,radio,"Was immediate and continuous skin-to-skin contact between the mother and newborn baby initiated (to be continued for at least 90 minutes)?","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,"Core Outcome
Compliance Data
@NOMISSING"
babymon_eenc_breastfeeding,babymon,,radio,"Early exclusive breastfeeding started within 1 hour of birth?","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,"Core Outcome
Compliance Data
@NOMISSING"
babymon_sc_or_i_site,babymon,,text,"Standard Care or Intervention Site? (calc)",,,,,,y,,,,,,,"Unblinding
Derived
Data Management
Compliance Data
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(
	[record-dag-id] = '1335' or 
    [record-dag-id] = '1361' or 
    [record-dag-id] = '1376' or 
    [record-dag-id] = '1378' or 
    [record-dag-id] = '1369' or 
    [record-dag-id] = '1379' or 
    [record-dag-id] = '1374' or 
    [record-dag-id] = '1390' or 
    [record-dag-id] = '1399' or 
    [record-dag-id] = '1400' or 
    [record-dag-id] = '1407' or 
    [record-dag-id] = '1408' or 
    [record-dag-id] = '1409' or 
    [record-dag-id] = '1418' or 
    [record-dag-id] = '1419' or
	[record-dag-id] = '1225',
    'eenc_only',
	if(
		# List dag ids of intervention sites here.
		[record-dag-id] = '1332' or 
		[record-dag-id] = '1365' or 
		[record-dag-id] = '1377' or 
		[record-dag-id] = '1333' or 
		[record-dag-id] = '1368' or 
		[record-dag-id] = '1334' or 
		[record-dag-id] = '1346' or 
		[record-dag-id] = '1381' or 
		[record-dag-id] = '1389' or 
		[record-dag-id] = '1401' or 
		[record-dag-id] = '1402' or 
		[record-dag-id] = '1403' or 
		[record-dag-id] = '1410' or 
		[record-dag-id] = '1411' or 
		[record-dag-id] = '1412' or 
		[record-dag-id] = '1420' or 
		[record-dag-id] = '1421' or
		[record-dag-id] = '1220',
		'eenc_plus_news_heat_care_bundle',
		''
	)
)
)"
babymon_impdateindag,babymon,,text,"Imp start date in dag name? (calc)",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(find('Imp. start: ',[record-dag-label]) <> 0,1,0)
)"
babymon_impdate_yyyymmdd,babymon,,text,"Imp start date (calc) yyyymmdd 
for calculating if baby born on/after or before",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(if([babymon_impdateindag] = '1', 
concat(
left(right([record-dag-label],5),4),
if(find(' Jan 20',[record-dag-label]) <> 0,'01',''),
if(find(' Feb 20',[record-dag-label]) <> 0,'02',''),
if(find(' Mar 20',[record-dag-label]) <> 0,'03',''),
if(find(' Apr 20',[record-dag-label]) <> 0,'04',''),
if(find(' May 20',[record-dag-label]) <> 0,'05',''),
if(find(' Jun 20',[record-dag-label]) <> 0,'06',''),
if(find(' Jul 20',[record-dag-label]) <> 0,'07',''),
if(find(' Aug 20',[record-dag-label]) <> 0,'08',''),
if(find(' Sep 20',[record-dag-label]) <> 0,'09',''),
if(find(' Oct 20',[record-dag-label]) <> 0,'10',''),
if(find(' Nov 20',[record-dag-label]) <> 0,'11',''),
if(find(' Dec 20',[record-dag-label]) <> 0,'12',''),
right(concat('00', trim(mid([record-dag-label], find('Imp. start: ',[record-dag-label])+12, 2))), 2)
)
,''))"
babymon_birthdate_yyyymmdd,babymon,,text,"Baby birth date (calc) yyyymmdd 
for calculating if baby born on/after or before implementation phase",,,,,,,,,,,,,"Derived 
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(mid([babyenrol_dob],3,1)='-',
concat(mid([babyenrol_dob],7,4),mid([babyenrol_dob],4,2),mid([babyenrol_dob],1,2)),
concat(mid([babyenrol_dob],1,4),mid([babyenrol_dob],6,2),mid([babyenrol_dob],9,2))
)
)"
babymon_bornduringimp,babymon,,text,"Baby born during implementation phase? (calc)",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(
[babymon_impdate_yyyymmdd] <> '' and ([babymon_birthdate_yyyymmdd] >= [babymon_impdate_yyyymmdd]),
1,
0
)
)"
babymon_phase,babymon,,radio,"What was the trial phase at time of birth?
{babymon_phase_note}","phase_1, PHASE 1: Baseline control phase for all facilities | phase_2, PHASE 2: Early essential newborn care (EENC) training and roll-out for all facilities, followed by randomisation | phase_3a, PHASE 3A: Continuation of EENC provision plus NEWS-HEAT care bundle training and roll-out. | phase_3b, PHASE 3B: EENC + NEWS-HEAT care bundle provision.",,,,,,"[babymon_phase] <> '' or ([babymon_sc_or_i_site] = 'eenc_plus_news_heat_care_bundle' and [babymon_impdate_yyyymmdd] = '')",y,,,,,"Data Management
@NOMISSING"
babymon_force_newsheat_q,babymon,,checkbox,,"1, Tick this box to force the question ""Was the NEWS-HEAT chart completed in labour ward/maternity theatre?"" to be shown.",,,,,,"[babymon_force_newsheat_q] <> '' or (
    [babymon_sc_or_i_site] = '' 
    or
    ([babymon_sc_or_i_site] = 'eenc_plus_news_heat_care_bundle'
    and
        (
        [babymon_phase] = 'phase_3a' or [babymon_bornduringimp] = '0'
        )
    )
)",,LV,,,,"Data Management
@NOMISSING"
babymon_nh_chart,babymon,,radio,"<div class=""rich-text-field-label""><p>Was the NEWS-HEAT chart completed in labour ward/maternity theatre?</p></div>","yes, Yes | no, No | unknown, Unknown",,,,,y,"[babymon_nh_chart] <> '' or [babymon_force_newsheat_q(1)] = '1' or
(
    [babymon_sc_or_i_site] = 'eenc_plus_news_heat_care_bundle' and
    ([babymon_bornduringimp] = '1' or [babymon_phase] = 'phase_3b')
)",y,,,,,"Participant Identifier
Unblinding
Process Outcome
Compliance Data
@NOMISSING"
babymon_nh_chart_no,babymon,,radio,"If no, why not? ","chart_not_made_available, Chart not made available | staff_providing_care_to_another_baby, Staff providing care to another baby | staff_providing_care_to_mother, Staff providing care to mother | staff_unavailable, Staff unavailable",,,,,y,"[babymon_nh_chart] = 'no'",y,,,,,"Participant Identifier
Unblinding
Process Outcome
Compliance Data
@NOMISSING"
temp_version,temp,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
temp_app_lasteditedby,temp,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
temp_title,temp,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Temperature - [record-name] Baby #[current-instance]</h2> <p style=""text-align: center;""><span style=""font-weight: normal;"">Please record temperature reading(s) below, in order of date/time measurement taken.</span></p>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_taken_on_lab_suit,temp,,radio,"Was temperature taken on labour ward/maternity theatre?","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_datetime_1,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><h2><span style=""font-size: 14pt;"">Temperature (1)</span></h2></div></div>",text,"Date and time of temperature recording",,,datetime_dmy,[babyenrol_dob],[temp_datetime_2],,"[temp_taken_on_lab_suit] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_1,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_taken_on_lab_suit] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_1_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_1] <> '' and [temp_degrees_c_1] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_1_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_1] <> '' and [temp_degrees_c_1] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_1,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_1] < 36.5 and [temp_taken_on_lab_suit] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_what_action_1,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_1_oth},,,,,"[temp_action_taken_1] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_1_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_1(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_2_taken,temp,,radio,"Was temperature measured again?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_taken_on_lab_suit] = 'yes'",y,,,,,"Data Management
@NOMISSING"
temp_datetime_2,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2><span style=""font-size: 14pt;"">Temperature (2)</span></h2> </div></div>",text,"Date and time of temperature recording ",,,datetime_dmy,[temp_datetime_1],[temp_datetime_3],,"[temp_2_taken] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_2,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_2_taken] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_2_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_2] <> '' and [temp_degrees_c_2] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_2_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_2] <> '' and [temp_degrees_c_2] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_2,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_2] < 36.5 and [temp_2_taken] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_what_action_2,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_2_oth},,,,,"[temp_action_taken_2] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_2_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_2(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_3_taken,temp,,radio,"Was temperature measured again?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_2_taken] = 'yes'",y,,,,,"Data Management
@NOMISSING"
temp_datetime_3,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2><span style=""font-size: 14pt;"">Temperature (3)</span></h2> </div></div>",text,"Date and time of temperature recording ",,,datetime_dmy,[temp_datetime_2],[temp_datetime_4],,"[temp_3_taken] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_3,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_3_taken] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_3_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_3] <> '' and [temp_degrees_c_3] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_3_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_3] <> '' and [temp_degrees_c_3] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_3,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_3] < 36.5 and [temp_3_taken] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_what_action_3,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_3_oth},,,,,"[temp_action_taken_3] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_3_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_3(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_4_taken,temp,,radio,"Was temperature measured again?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_3_taken] = 'yes'",y,,,,,"Data Management
@NOMISSING"
temp_datetime_4,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2><span style=""font-size: 14pt;"">Temperature (4)</span></h2> </div></div>",text,"Date and time of temperature recording ",,,datetime_dmy,[temp_datetime_3],[temp_datetime_5],,"[temp_4_taken] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_4,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_4_taken] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_4_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_4] <> '' and [temp_degrees_c_4] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_4_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_4] <> '' and [temp_degrees_c_4] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_4,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_4] < 36.5 and [temp_4_taken] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_what_action_4,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_4_oth},,,,,"[temp_action_taken_4] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_4_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_4(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_5_taken,temp,,radio,"Was temperature measured again?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_4_taken] = 'yes'",y,,,,,"Data Management
@NOMISSING"
temp_datetime_5,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2><span style=""font-size: 14pt;"">Temperature (5)</span></h2> </div></div>",text,"Date and time of temperature recording ",,,datetime_dmy,[temp_datetime_4],[temp_datetime_6],,"[temp_5_taken] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_5,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_5_taken] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_5_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_5] <> '' and [temp_degrees_c_5] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_5_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_5] <> '' and [temp_degrees_c_5] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_5,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_5] < 36.5 and [temp_5_taken] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_what_action_5,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_5_oth},,,,,"[temp_action_taken_5] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_5_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_5(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_6_taken,temp,,radio,"Was temperature measured again?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_5_taken] = 'yes'",y,,,,,"Data Management
@NOMISSING"
temp_datetime_6,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2><span style=""font-size: 14pt;"">Temperature (6)</span></h2> </div></div>",text,"Date and time of temperature recording ",,,datetime_dmy,[temp_datetime_5],[temp_datetime_7],,"[temp_6_taken] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_6,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_6_taken] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_6_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_6] <> '' and [temp_degrees_c_6] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_6_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_6] <> '' and [temp_degrees_c_6] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_6,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_6] < 36.5 and [temp_6_taken] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_what_action_6,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_6_oth},,,,,"[temp_action_taken_6] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_6_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_6(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_7_taken,temp,,radio,"Was temperature measured again?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_6_taken] = 'yes'",y,,,,,"Data Management
@NOMISSING"
temp_datetime_7,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2><span style=""font-size: 14pt;"">Temperature (7)</span></h2> </div></div>",text,"Date and time of temperature recording ",,,datetime_dmy,[temp_datetime_6],[temp_datetime_8],,"[temp_7_taken] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_7,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_7_taken] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_7_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_7] <> '' and [temp_degrees_c_7] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_7_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_7] <> '' and [temp_degrees_c_7] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_7,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_7] < 36.5 and [temp_7_taken] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
